Year,Census,Source,Value
2015,West South Central,Renewable,0.106947209
2016,East North Central,Coal,0.469045057
2016,East North Central,Natural Gas,0.189969533
2016,East North Central,Nuclear,0.268452789
2016,East North Central,Other,0.013373302
2016,East North Central,Renewable,0.059159319
2016,East South Central,Coal,0.376958586
2016,East South Central,Natural Gas,0.34916434
2016,East South Central,Nuclear,0.206512619
2016,East South Central,Other,0.002230413
2016,East South Central,Renewable,0.065134042
2016,Middle Atlantic,Coal,0.134430661
2016,Middle Atlantic,Natural Gas,0.392536489
2016,Middle Atlantic,Nuclear,0.359324399
2016,Middle Atlantic,Other,0.006824492
2016,Middle Atlantic,Renewable,0.106883958
2016,Mountain,Coal,0.439237466
2016,Mountain,Natural Gas,0.269890712
2016,Mountain,Nuclear,0.088250068
2016,Mountain,Other,0.004358377
2016,Mountain,Renewable,0.198263376
2016,New England,Coal,0.023237538
2016,New England,Natural Gas,0.489848799
2016,New England,Nuclear,0.29913892
2016,New England,Other,0.01885099
2016,New England,Renewable,0.168923753
2016,Pacific,Coal,0.022458411
2016,Pacific,Natural Gas,0.318597965
2016,Pacific,Nuclear,0.071917746
2016,Pacific,Other,0.026156727
2016,Pacific,Renewable,0.560869152
2016,South Atlantic,Coal,0.29216444
2016,South Atlantic,Natural Gas,0.395541701
2016,South Atlantic,Nuclear,0.253910801
2016,South Atlantic,Other,0.007580412
2016,South Atlantic,Renewable,0.050802647
2016,West North Central,Coal,0.559005636
2016,West North Central,Natural Gas,0.068887118
2016,West North Central,Nuclear,0.139734427
2016,West North Central,Other,0.003445638
2016,West North Central,Renewable,0.228927181
2016,West South Central,Coal,0.251355667
