Technology,Region,Aeo_case,Aeo_year,Data_type,Size,Year,Unit,Value
PHEV20,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,13390
PHEV40,United States,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,7578
BEV100,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,263
BEV300,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,245
CNG,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1291
FCV,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,87
FFV,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,41721
HEV,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,2893
ICEV-D,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,2345
ICEV-G,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,401432
PHEV20,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,805
PHEV40,West North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,438
BEV100,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,435
BEV300,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,406
CNG,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,2215
FCV,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,145
FFV,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,74690
HEV,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,5115
ICEV-D,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,4093
ICEV-G,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,738505
PHEV20,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,1333
PHEV40,West South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Light truck,2017,vehicle,727
BEV100,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1985
BEV300,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,23123
CNG,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,871
FCV,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,398
FFV,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,31475
HEV,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,70628
ICEV-D,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1150
ICEV-G,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1027753
PHEV20,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,4228
PHEV40,East North Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,16221
BEV100,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,525
BEV300,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,3957
CNG,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,359
FCV,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,170
FFV,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,11255
HEV,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,23047
ICEV-D,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,371
ICEV-G,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,352022
PHEV20,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1754
PHEV40,East South Central,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,4720
BEV100,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,2343
BEV300,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,32895
CNG,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,719
FCV,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,330
FFV,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,30333
HEV,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,71407
ICEV-D,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1109
ICEV-G,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,1018107
PHEV20,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,3568
PHEV40,Middle Atlantic,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,16203
BEV100,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,661
BEV300,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,4684
CNG,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,470
FCV,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,213
FFV,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,14506
HEV,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,30515
ICEV-D,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,492
ICEV-G,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,457671
PHEV20,Mountain,REF,AEO2019,Light-Duty Vehicle Sales ,Car,2018,vehicle,2204
