"Technology","Year","Value","Scenario","Unit"
"elec_refined liquids (steam/CT)",2080,0.00569025,"SSP1","EJ"
"global solar resource",2080,0.080147485,"SSP1","EJ"
"onshore wind resource",2080,4.53009534,"SSP1","EJ"
"water_td_elec_C",2080,4.87958549613,"SSP1","EJ"
"water_td_elec_W",2080,0.00044549613,"SSP1","EJ"
"backup_electricity",2085,0.0004439918519,"SSP1","EJ"
"elec_biomass (conv)",2085,0.455254,"SSP1","EJ"
"elec_biomass (IGCC)",2085,0.347711,"SSP1","EJ"
"elec_coal (conv pul)",2085,6.45859,"SSP1","EJ"
"elec_coal (IGCC)",2085,2.37465,"SSP1","EJ"
"elec_CSP",2085,0.541309,"SSP1","EJ"
"elec_CSP_storage",2085,1.76847,"SSP1","EJ"
"elec_gas (CC)",2085,3.74995,"SSP1","EJ"
"elec_gas (steam/CT)",2085,0.101883,"SSP1","EJ"
"elec_Gen_II_LWR",2085,0,"SSP1","EJ"
"elec_Gen_III",2085,3.36321,"SSP1","EJ"
"elec_geothermal",2085,0.884142,"SSP1","EJ"
"elec_refined liquids (CC)",2085,0.161528,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2085,0.00584186,"SSP1","EJ"
"global solar resource",2085,0.08914452,"SSP1","EJ"
"onshore wind resource",2085,4.52797137,"SSP1","EJ"
"water_td_elec_C",2085,4.90026578335,"SSP1","EJ"
"water_td_elec_W",2085,0.00049578335,"SSP1","EJ"
"backup_electricity",2090,0.0004443668285,"SSP1","EJ"
"elec_biomass (conv)",2090,0.498464,"SSP1","EJ"
"elec_biomass (IGCC)",2090,0.386274,"SSP1","EJ"
"elec_coal (conv pul)",2090,6.37849,"SSP1","EJ"
"elec_coal (IGCC)",2090,2.49356,"SSP1","EJ"
"elec_CSP",2090,0.55513,"SSP1","EJ"
"elec_CSP_storage",2090,1.7924,"SSP1","EJ"
"elec_gas (CC)",2090,3.57019,"SSP1","EJ"
"elec_gas (steam/CT)",2090,0.104164,"SSP1","EJ"
"elec_Gen_II_LWR",2090,0,"SSP1","EJ"
"elec_Gen_III",2090,3.40254,"SSP1","EJ"
"elec_geothermal",2090,0.878654,"SSP1","EJ"
"elec_refined liquids (CC)",2090,0.161133,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2090,0.00598123,"SSP1","EJ"
"global solar resource",2090,0.10039548,"SSP1","EJ"
"onshore wind resource",2090,4.45321365,"SSP1","EJ"
"water_td_elec_C",2090,4.92095828024,"SSP1","EJ"
"water_td_elec_W",2090,0.00055828024,"SSP1","EJ"
"backup_electricity",2095,0.0005738035695,"SSP1","EJ"
"elec_biomass (conv)",2095,0.531,"SSP1","EJ"
"elec_biomass (IGCC)",2095,0.41611,"SSP1","EJ"
"elec_coal (conv pul)",2095,6.21036,"SSP1","EJ"
"elec_coal (IGCC)",2095,2.55002,"SSP1","EJ"
"elec_CSP",2095,0.561317,"SSP1","EJ"
"elec_CSP_storage",2095,1.80163,"SSP1","EJ"
"elec_gas (CC)",2095,3.44197,"SSP1","EJ"
"elec_gas (steam/CT)",2095,0.10852,"SSP1","EJ"
"elec_Gen_II_LWR",2095,0,"SSP1","EJ"
"elec_Gen_III",2095,3.36284,"SSP1","EJ"
"elec_geothermal",2095,0.869263,"SSP1","EJ"
"elec_refined liquids (CC)",2095,0.143141,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2095,0.00567438,"SSP1","EJ"
"global solar resource",2095,0.10315417,"SSP1","EJ"
"onshore wind resource",2095,4.47164516,"SSP1","EJ"
"water_td_elec_C",2095,4.94160431951,"SSP1","EJ"
"water_td_elec_W",2095,0.00057431951,"SSP1","EJ"
"backup_electricity",2100,0.0004573206906,"SSP1","EJ"
"elec_biomass (conv)",2100,0.56718,"SSP1","EJ"
"elec_biomass (IGCC)",2100,0.446586,"SSP1","EJ"
"elec_coal (conv pul)",2100,5.97786,"SSP1","EJ"
"elec_coal (IGCC)",2100,2.57037,"SSP1","EJ"
"elec_CSP",2100,0.546642,"SSP1","EJ"
"elec_CSP_storage",2100,1.75066,"SSP1","EJ"
"elec_gas (CC)",2100,3.44332,"SSP1","EJ"
"elec_gas (steam/CT)",2100,0.119665,"SSP1","EJ"
"elec_Gen_II_LWR",2100,0,"SSP1","EJ"
"elec_Gen_III",2100,3.27949,"SSP1","EJ"
"elec_geothermal",2100,0.839406,"SSP1","EJ"
"elec_refined liquids (CC)",2100,0.140281,"SSP1","EJ"
"elec_refined liquids (steam/CT)",2100,0.00570699,"SSP1","EJ"
"global solar resource",2100,0.1009231,"SSP1","EJ"
"onshore wind resource",2100,4.33821683,"SSP1","EJ"
"water_td_elec_C",2100,4.94159133407,"SSP1","EJ"
"water_td_elec_W",2100,0.00056133407,"SSP1","EJ"
"backup_electricity",1990,0,"SSP1_26","EJ"
"elec_biomass (conv CCS)",1990,0,"SSP1_26","EJ"
"elec_biomass (conv)",1990,0.0791349,"SSP1_26","EJ"
"elec_biomass (IGCC CCS)",1990,0,"SSP1_26","EJ"
"elec_biomass (IGCC)",1990,0,"SSP1_26","EJ"
"elec_coal (conv pul CCS)",1990,0,"SSP1_26","EJ"
"elec_coal (conv pul)",1990,6.02909,"SSP1_26","EJ"
"elec_coal (IGCC CCS)",1990,0,"SSP1_26","EJ"
"elec_coal (IGCC)",1990,0,"SSP1_26","EJ"
"elec_CSP",1990,0.0023869,"SSP1_26","EJ"
"elec_CSP_storage",1990,0,"SSP1_26","EJ"
"elec_gas (CC CCS)",1990,0,"SSP1_26","EJ"
"elec_gas (CC)",1990,0.5903,"SSP1_26","EJ"
"elec_gas (steam/CT)",1990,0.435995,"SSP1_26","EJ"
"elec_Gen_II_LWR",1990,2.20139,"SSP1_26","EJ"
"elec_Gen_III",1990,0,"SSP1_26","EJ"
"elec_geothermal",1990,0.0576456,"SSP1_26","EJ"
"elec_refined liquids (CC CCS)",1990,0,"SSP1_26","EJ"
"elec_refined liquids (CC)",1990,0,"SSP1_26","EJ"
"elec_refined liquids (steam/CT)",1990,0.450767,"SSP1_26","EJ"
"global solar resource",1990,1.08004e-05,"SSP1_26","EJ"
"onshore wind resource",1990,0.0110381,"SSP1_26","EJ"
"water_td_elec_C",1990,4.643580060003,"SSP1_26","EJ"
"water_td_elec_W",1990,6.0003e-08,"SSP1_26","EJ"
"backup_electricity",2005,0,"SSP1_26","EJ"
"elec_biomass (conv CCS)",2005,0,"SSP1_26","EJ"
"elec_biomass (conv)",2005,0.110634,"SSP1_26","EJ"
"elec_biomass (IGCC CCS)",2005,0,"SSP1_26","EJ"
"elec_biomass (IGCC)",2005,0,"SSP1_26","EJ"
"elec_coal (conv pul CCS)",2005,0,"SSP1_26","EJ"
"elec_coal (conv pul)",2005,7.68047,"SSP1_26","EJ"
"elec_coal (IGCC CCS)",2005,0,"SSP1_26","EJ"
"elec_coal (IGCC)",2005,0,"SSP1_26","EJ"
"elec_CSP",2005,0.00214559,"SSP1_26","EJ"
"elec_CSP_storage",2005,0,"SSP1_26","EJ"
"elec_gas (CC CCS)",2005,0,"SSP1_26","EJ"
"elec_gas (CC)",2005,1.90249,"SSP1_26","EJ"
"elec_gas (steam/CT)",2005,0.666933,"SSP1_26","EJ"
"elec_Gen_II_LWR",2005,2.91859,"SSP1_26","EJ"
"elec_Gen_III",2005,0,"SSP1_26","EJ"
"elec_geothermal",2005,0.0604004,"SSP1_26","EJ"
"elec_refined liquids (CC CCS)",2005,0,"SSP1_26","EJ"
"elec_refined liquids (CC)",2005,0,"SSP1_26","EJ"
"elec_refined liquids (steam/CT)",2005,0.454965,"SSP1_26","EJ"
"global solar resource",2005,0.00188639,"SSP1_26","EJ"
"onshore wind resource",2005,0.0643712,"SSP1_26","EJ"
"water_td_elec_C",2005,4.63630048,"SSP1_26","EJ"
"water_td_elec_W",2005,1.048e-05,"SSP1_26","EJ"
"backup_electricity",2010,0,"SSP1_26","EJ"
"elec_biomass (conv CCS)",2010,0,"SSP1_26","EJ"
"elec_biomass (conv)",2010,0.115436,"SSP1_26","EJ"
"elec_biomass (IGCC CCS)",2010,0,"SSP1_26","EJ"
"elec_biomass (IGCC)",2010,0,"SSP1_26","EJ"
"elec_coal (conv pul CCS)",2010,0,"SSP1_26","EJ"
"elec_coal (conv pul)",2010,7.10527,"SSP1_26","EJ"
"elec_coal (IGCC CCS)",2010,0,"SSP1_26","EJ"
"elec_coal (IGCC)",2010,0,"SSP1_26","EJ"
"elec_CSP",2010,0.00316435,"SSP1_26","EJ"
"elec_CSP_storage",2010,0,"SSP1_26","EJ"
"elec_gas (CC CCS)",2010,0,"SSP1_26","EJ"
"elec_gas (CC)",2010,1.84213,"SSP1_26","EJ"
"elec_gas (steam/CT)",2010,1.54243,"SSP1_26","EJ"
"elec_Gen_II_LWR",2010,3.0201,"SSP1_26","EJ"
"elec_Gen_III",2010,0,"SSP1_26","EJ"
"elec_geothermal",2010,0.0632762,"SSP1_26","EJ"
"elec_refined liquids (CC CCS)",2010,0,"SSP1_26","EJ"
"elec_refined liquids (CC)",2010,0,"SSP1_26","EJ"
"elec_refined liquids (steam/CT)",2010,0.144545,"SSP1_26","EJ"
"global solar resource",2010,0.0109978,"SSP1_26","EJ"
"onshore wind resource",2010,0.342527,"SSP1_26","EJ"
